fold,start_date,end_date,rmse,mae
0,2024-03-28,2024-05-21,1.2143810164419082,0.9024810784230258
1,2024-05-22,2024-07-17,0.6142072526590864,0.47009684143334846
2,2024-07-18,2024-09-10,3.501820050886446,2.0365976511502843
3,2024-09-11,2024-11-01,1.30046124943252,0.8755600771238591
4,2024-11-04,2024-12-27,2.36427788983132,1.247761955722158
