fold,start_date,end_date,rmse,mae
0,2024-03-28,2024-05-21,1.3555458414410702,1.0617645659490893
1,2024-05-22,2024-07-17,0.6108879638389098,0.44714072515043013
2,2024-07-18,2024-09-10,3.4856408562717873,2.0530501077985397
3,2024-09-11,2024-11-01,1.199105837450775,0.8437059388314365
4,2024-11-04,2024-12-27,2.3662626323297156,1.2263781611327218
