,coef,std_err,t_stat,p_value
const,2.2255948379958563,0.7278833966323788,3.057625504706909,0.0022309819602806826
MUI_lag0,-0.4654429798071078,0.5026530759414827,-0.9259726083150305,0.35446021552180373
MUI_lag1,0.5841118164856347,0.5743419836358621,1.0170104800417425,0.30914844392298857
MUI_lag2,-0.5090753930048404,0.27917376608378924,-1.8235072734307352,0.0682265964760158
MUI_lag3,0.395576102527478,0.19031508244013448,2.0785325968681985,0.0376603318073422
MUI_lag5,-0.0020919840751377206,0.10871989899179939,-0.019241961173046312,0.9846480836153316
VIX_lag0,0.8649155765684553,0.08790463770468365,9.839248521496058,7.627844921753244e-23
VIX_lag1,0.06068788167376604,0.11997639677263144,0.5058318411476909,0.6129747036803017
VIX_lag2,-0.06372947934751316,0.09732751769595027,-0.6547940485506176,0.512600362939849
VIX_lag3,-0.009319404176897639,0.05860764255421862,-0.15901346259195034,0.8736582671729207
VIX_lag5,0.006968483567268674,0.0541765539665022,0.12862544877950974,0.8976540283642296
