fold,start_date,end_date,rmse,mae
0,2024-03-28,2024-05-21,1.1995156836702312,0.8896546929312669
1,2024-05-22,2024-07-17,0.5929691580497011,0.4634386254949051
2,2024-07-18,2024-09-10,3.651749573564714,2.1675815212791703
3,2024-09-11,2024-11-01,1.265517930411932,0.8336390984910798
4,2024-11-04,2024-12-27,2.37309121084373,1.2351935135909233
