feature_set,model,rmse,mae
with_mui,OLS,2.508248090441195,1.713148289039464
with_mui,LASSO,1.9714053963327132,1.2907380323041964
with_mui,RandomForest,2.4692347238848877,1.5729775131292514
vix_only,OLS,1.816568711308062,1.117901490357469
vix_only,LASSO,1.7990294918502563,1.106499520770535
vix_only,RandomForest,2.4174501651014504,1.5319141554079558
