,VIX_target,MUI_lag0,MUI_lag1,MUI_lag2,MUI_lag3,MUI_lag5,VIX_lag0,VIX_lag1,VIX_lag2,VIX_lag3,VIX_lag5
2024-01-29,13.3100004196167,-0.00032700863045,-3.7480897600676494e-18,4.983724415596526e-16,7.960616913182348e-16,6.332443964395468e-16,13.600000381469728,13.300000190734863,14.130000114440918,14.789999961853027,12.699999809265137
2024-01-30,14.350000381469728,0.0010941050001273,-0.00032700863045,-3.7480897600676494e-18,4.983724415596526e-16,2.886906985929759e-15,13.3100004196167,13.600000381469728,13.300000190734863,14.130000114440918,13.84000015258789
2024-01-31,13.880000114440918,0.0012412236195732,0.0010941050001273,-0.00032700863045,-3.7480897600676494e-18,7.960616913182348e-16,14.350000381469728,13.3100004196167,13.600000381469728,13.300000190734863,14.789999961853027
2024-02-01,13.850000381469728,0.1415607544056603,0.0012412236195732,0.0010941050001273,-0.00032700863045,4.983724415596526e-16,13.880000114440918,14.350000381469728,13.3100004196167,13.600000381469728,14.130000114440918
2024-02-02,13.670000076293944,-0.227618451523681,0.1415607544056603,0.0012412236195732,0.0010941050001273,-3.7480897600676494e-18,13.850000381469728,13.880000114440918,14.350000381469728,13.3100004196167,13.300000190734863
2024-02-05,13.0600004196167,-0.2415553908725625,-0.227618451523681,0.1415607544056603,0.0012412236195732,-0.00032700863045,13.670000076293944,13.850000381469728,13.880000114440918,14.350000381469728,13.600000381469728
2024-02-06,12.829999923706056,-0.2178561389573554,-0.2415553908725625,-0.227618451523681,0.1415607544056603,0.0010941050001273,13.0600004196167,13.670000076293944,13.850000381469728,13.880000114440918,13.3100004196167
2024-02-07,12.789999961853027,-0.2441297899881877,-0.2178561389573554,-0.2415553908725625,-0.227618451523681,0.0012412236195732,12.829999923706056,13.0600004196167,13.670000076293944,13.850000381469728,14.350000381469728
2024-02-08,12.93000030517578,-0.2219887057127081,-0.2441297899881877,-0.2178561389573554,-0.2415553908725625,0.1415607544056603,12.789999961853027,12.829999923706056,13.0600004196167,13.670000076293944,13.880000114440918
2024-02-09,13.93000030517578,-0.1732652947688801,-0.2219887057127081,-0.2441297899881877,-0.2178561389573554,-0.227618451523681,12.93000030517578,12.789999961853027,12.829999923706056,13.0600004196167,13.850000381469728
2024-02-12,15.850000381469728,-0.0843594058172324,-0.1732652947688801,-0.2219887057127081,-0.2441297899881877,-0.2415553908725625,13.93000030517578,12.93000030517578,12.789999961853027,12.829999923706056,13.670000076293944
2024-02-13,14.380000114440918,-0.0802141662107122,-0.0843594058172324,-0.1732652947688801,-0.2219887057127081,-0.2178561389573554,15.850000381469728,13.93000030517578,12.93000030517578,12.789999961853027,13.0600004196167
2024-02-14,14.010000228881836,0.1210060616032533,-0.0802141662107122,-0.0843594058172324,-0.1732652947688801,-0.2441297899881877,14.380000114440918,15.850000381469728,13.93000030517578,12.93000030517578,12.829999923706056
2024-02-15,14.239999771118164,0.0709553222299049,0.1210060616032533,-0.0802141662107122,-0.0843594058172324,-0.2219887057127081,14.010000228881836,14.380000114440918,15.850000381469728,13.93000030517578,12.789999961853027
2024-02-16,15.420000076293944,0.0818827727508755,0.0709553222299049,0.1210060616032533,-0.0802141662107122,-0.1732652947688801,14.239999771118164,14.010000228881836,14.380000114440918,15.850000381469728,12.93000030517578
2024-02-20,15.34000015258789,0.1974267338932812,0.0818827727508755,0.0709553222299049,0.1210060616032533,-0.0843594058172324,15.420000076293944,14.239999771118164,14.010000228881836,14.380000114440918,13.93000030517578
2024-02-21,14.539999961853027,0.20810546562582,0.1974267338932812,0.0818827727508755,0.0709553222299049,-0.0802141662107122,15.34000015258789,15.420000076293944,14.239999771118164,14.010000228881836,15.850000381469728
2024-02-22,13.75,0.2203823363980068,0.20810546562582,0.1974267338932812,0.0818827727508755,0.1210060616032533,14.539999961853027,15.34000015258789,15.420000076293944,14.239999771118164,14.380000114440918
2024-02-23,13.739999771118164,0.1910540671884155,0.2203823363980068,0.20810546562582,0.1974267338932812,0.0709553222299049,13.75,14.539999961853027,15.34000015258789,15.420000076293944,14.010000228881836
2024-02-26,13.43000030517578,0.1873849619999263,0.1910540671884155,0.2203823363980068,0.20810546562582,0.0818827727508755,13.739999771118164,13.75,14.539999961853027,15.34000015258789,14.239999771118164
2024-02-27,13.84000015258789,0.2023833442752866,0.1873849619999263,0.1910540671884155,0.2203823363980068,0.1974267338932812,13.43000030517578,13.739999771118164,13.75,14.539999961853027,15.420000076293944
2024-02-28,13.399999618530272,0.2305272209552801,0.2023833442752866,0.1873849619999263,0.1910540671884155,0.20810546562582,13.84000015258789,13.43000030517578,13.739999771118164,13.75,15.34000015258789
2024-02-29,13.109999656677246,0.2190783780057888,0.2305272209552801,0.2023833442752866,0.1873849619999263,0.2203823363980068,13.399999618530272,13.84000015258789,13.43000030517578,13.739999771118164,14.539999961853027
2024-03-01,13.489999771118164,0.1594247382498612,0.2190783780057888,0.2305272209552801,0.2023833442752866,0.1910540671884155,13.109999656677246,13.399999618530272,13.84000015258789,13.43000030517578,13.75
2024-03-04,14.460000038146973,0.1551378141438609,0.1594247382498612,0.2190783780057888,0.2305272209552801,0.1873849619999263,13.489999771118164,13.109999656677246,13.399999618530272,13.84000015258789,13.739999771118164
2024-03-05,14.5,0.1600142260722682,0.1551378141438609,0.1594247382498612,0.2190783780057888,0.2023833442752866,14.460000038146973,13.489999771118164,13.109999656677246,13.399999618530272,13.43000030517578
2024-03-06,14.4399995803833,0.2007692256500057,0.1600142260722682,0.1551378141438609,0.1594247382498612,0.2305272209552801,14.5,14.460000038146973,13.489999771118164,13.109999656677246,13.84000015258789
2024-03-07,14.739999771118164,0.1768311946262662,0.2007692256500057,0.1600142260722682,0.1551378141438609,0.2190783780057888,14.4399995803833,14.5,14.460000038146973,13.489999771118164,13.399999618530272
2024-03-08,15.220000267028809,0.1689602152090652,0.1768311946262662,0.2007692256500057,0.1600142260722682,0.1594247382498612,14.739999771118164,14.4399995803833,14.5,14.460000038146973,13.109999656677246
2024-03-11,13.84000015258789,0.2482320195711624,0.1689602152090652,0.1768311946262662,0.2007692256500057,0.1551378141438609,15.220000267028809,14.739999771118164,14.4399995803833,14.5,13.489999771118164
2024-03-12,13.75,0.5304498789171792,0.2482320195711624,0.1689602152090652,0.1768311946262662,0.1600142260722682,13.84000015258789,15.220000267028809,14.739999771118164,14.4399995803833,14.460000038146973
2024-03-13,14.399999618530272,0.596564076225061,0.5304498789171792,0.2482320195711624,0.1689602152090652,0.2007692256500057,13.75,13.84000015258789,15.220000267028809,14.739999771118164,14.5
2024-03-14,14.40999984741211,0.5916702966786705,0.596564076225061,0.5304498789171792,0.2482320195711624,0.1768311946262662,14.399999618530272,13.75,13.84000015258789,15.220000267028809,14.4399995803833
2024-03-15,14.329999923706056,0.5031098786227013,0.5916702966786705,0.596564076225061,0.5304498789171792,0.1689602152090652,14.40999984741211,14.399999618530272,13.75,13.84000015258789,14.739999771118164
2024-03-18,13.81999969482422,0.427482503097521,0.5031098786227013,0.5916702966786705,0.596564076225061,0.2482320195711624,14.329999923706056,14.40999984741211,14.399999618530272,13.75,15.220000267028809
2024-03-19,13.039999961853027,0.4540254126322913,0.427482503097521,0.5031098786227013,0.5916702966786705,0.5304498789171792,13.81999969482422,14.329999923706056,14.40999984741211,14.399999618530272,13.84000015258789
2024-03-20,12.920000076293944,0.4413614329058172,0.4540254126322913,0.427482503097521,0.5031098786227013,0.596564076225061,13.039999961853027,13.81999969482422,14.329999923706056,14.40999984741211,13.75
2024-03-21,13.0600004196167,0.3766087558166368,0.4413614329058172,0.4540254126322913,0.427482503097521,0.5916702966786705,12.920000076293944,13.039999961853027,13.81999969482422,14.329999923706056,14.399999618530272
2024-03-22,13.1899995803833,0.3689518972562147,0.3766087558166368,0.4413614329058172,0.4540254126322913,0.5031098786227013,13.0600004196167,12.920000076293944,13.039999961853027,13.81999969482422,14.40999984741211
2024-03-25,13.239999771118164,0.3650289618237772,0.3689518972562147,0.3766087558166368,0.4413614329058172,0.427482503097521,13.1899995803833,13.0600004196167,12.920000076293944,13.039999961853027,14.329999923706056
2024-03-26,12.779999732971191,0.3499755145537672,0.3650289618237772,0.3689518972562147,0.3766087558166368,0.4540254126322913,13.239999771118164,13.1899995803833,13.0600004196167,12.920000076293944,13.81999969482422
2024-03-27,13.010000228881836,0.3577749944445301,0.3499755145537672,0.3650289618237772,0.3689518972562147,0.4413614329058172,12.779999732971191,13.239999771118164,13.1899995803833,13.0600004196167,13.039999961853027
2024-03-28,13.649999618530272,0.3825155468047591,0.3577749944445301,0.3499755145537672,0.3650289618237772,0.3766087558166368,13.010000228881836,12.779999732971191,13.239999771118164,13.1899995803833,12.920000076293944
2024-04-01,14.609999656677246,0.3904746810886377,0.3825155468047591,0.3577749944445301,0.3499755145537672,0.3689518972562147,13.649999618530272,13.010000228881836,12.779999732971191,13.239999771118164,13.0600004196167
2024-04-02,14.329999923706056,0.3523353398198565,0.3904746810886377,0.3825155468047591,0.3577749944445301,0.3650289618237772,14.609999656677246,13.649999618530272,13.010000228881836,12.779999732971191,13.1899995803833
2024-04-03,16.350000381469727,0.1081690625818641,0.3523353398198565,0.3904746810886377,0.3825155468047591,0.3499755145537672,14.329999923706056,14.609999656677246,13.649999618530272,13.010000228881836,13.239999771118164
2024-04-04,16.030000686645508,0.3922339774459752,0.1081690625818641,0.3523353398198565,0.3904746810886377,0.3577749944445301,16.350000381469727,14.329999923706056,14.609999656677246,13.649999618530272,12.779999732971191
2024-04-05,15.1899995803833,0.8858810172093103,0.3922339774459752,0.1081690625818641,0.3523353398198565,0.3825155468047591,16.030000686645508,16.350000381469727,14.329999923706056,14.609999656677246,13.010000228881836
2024-04-08,14.979999542236328,0.4761428231116921,0.8858810172093103,0.3922339774459752,0.1081690625818641,0.3904746810886377,15.1899995803833,16.030000686645508,16.350000381469727,14.329999923706056,13.649999618530272
